Gmt time,"     Open","   High","   Low","   Close"," Open-target","High-target","Low-target","Close-taget"
"28.10.2010 ","1.37942","1.39499","1.37749","1.39426","1.39424","1.39488","1.38038","1.39447"
"29.10.2010 ","1.39424","1.39488","1.38038","1.39447","1.39447","1.39447","1.39447","1.39447"
"30.10.2010 ","1.39447","1.39447","1.39447","1.39447","1.39508","1.39810","1.39491","1.39717"
"31.10.2010 ","1.39508","1.39810","1.39491","1.39717","1.39724","1.40110","1.38620","1.39086"
"01.11.2010 ","1.39724","1.40110","1.38620","1.39086","1.39090","1.40573","1.38788","1.40316"
"02.11.2010 ","1.39090","1.40573","1.38788","1.40316","1.40313","1.41465","1.39885","1.41252"
"03.11.2010 ","1.40313","1.41465","1.39885","1.41252","1.41246","1.42817","1.40996","1.42262"
"04.11.2010 ","1.41246","1.42817","1.40996","1.42262","1.42269","1.42289","1.40207","1.40283"
"05.11.2010 ","1.42269","1.42289","1.40207","1.40283","1.40283","1.40283","1.40283","1.40283"
"06.11.2010 ","1.40283","1.40283","1.40283","1.40283","1.40326","1.40803","1.40315","1.40734"
"07.11.2010 ","1.40326","1.40803","1.40315","1.40734","1.40734","1.40825","1.38579","1.38629"
"08.11.2010 ","1.40734","1.40825","1.38579","1.38629","1.38616","1.39717","1.37457","1.37683"
"09.11.2010 ","1.38616","1.39717","1.37457","1.37683","1.37680","1.38251","1.36691","1.37735"
"10.11.2010 ","1.37680","1.38251","1.36691","1.37735","1.37745","1.38205","1.36027","1.36191"
"11.11.2010 ","1.37745","1.38205","1.36027","1.36191","1.36198","1.37759","1.35714","1.36895"
"12.11.2010 ","1.36198","1.37759","1.35714","1.36895","1.36895","1.36895","1.36895","1.36895"
"13.11.2010 ","1.36895","1.36895","1.36895","1.36895","1.36940","1.37094","1.36785","1.36877"
"14.11.2010 ","1.36940","1.37094","1.36785","1.36877","1.36882","1.37498","1.35631","1.35729"
"15.11.2010 ","1.36882","1.37498","1.35631","1.35729","1.35729","1.36547","1.34467","1.34940"
"16.11.2010 ","1.35729","1.36547","1.34467","1.34940","1.34925","1.35653","1.34601","1.35524"
"17.11.2010 ","1.34925","1.35653","1.34601","1.35524","1.35524","1.36670","1.35423","1.36567"
"18.11.2010 ","1.35524","1.36670","1.35423","1.36567","1.36557","1.37311","1.36082","1.36714"
"19.11.2010 ","1.36557","1.37311","1.36082","1.36714","1.36714","1.36714","1.36714","1.36714"
"20.11.2010 ","1.36714","1.36714","1.36714","1.36714","1.37145","1.37435","1.36900","1.37412"
"21.11.2010 ","1.37145","1.37435","1.36900","1.37412","1.37414","1.37859","1.35764","1.35995"
"22.11.2010 ","1.37414","1.37859","1.35764","1.35995","1.35987","1.36140","1.33601","1.33855"
"23.11.2010 ","1.35987","1.36140","1.33601","1.33855","1.33855","1.34209","1.32839","1.33576"
"24.11.2010 ","1.33855","1.34209","1.32839","1.33576","1.33577","1.33870","1.32864","1.33394"
"25.11.2010 ","1.33577","1.33870","1.32864","1.33394","1.33394","1.33497","1.32001","1.32376"
"26.11.2010 ","1.33394","1.33497","1.32001","1.32376","1.32376","1.32376","1.32376","1.32376"
"27.11.2010 ","1.32376","1.32376","1.32376","1.32376","1.32382","1.33352","1.32305","1.32369"
"28.11.2010 ","1.32382","1.33352","1.32305","1.32369","1.32369","1.32999","1.30638","1.30998"
"29.11.2010 ","1.32369","1.32999","1.30638","1.30998","1.31004","1.31497","1.29685","1.29953"
"30.11.2010 ","1.31004","1.31497","1.29685","1.29953","1.29956","1.31780","1.29707","1.31244"
"01.12.2010 ","1.29956","1.31780","1.29707","1.31244","1.31244","1.32468","1.30599","1.32114"
"02.12.2010 ","1.31244","1.32468","1.30599","1.32114","1.32112","1.34376","1.31927","1.33953"
"03.12.2010 ","1.32112","1.34376","1.31927","1.33953","1.33953","1.33953","1.33953","1.33953"
"04.12.2010 ","1.33953","1.33953","1.33953","1.33953","1.33993","1.34342","1.33748","1.34128"
"05.12.2010 ","1.33993","1.34342","1.33748","1.34128","1.34128","1.34200","1.32459","1.32878"
"06.12.2010 ","1.34128","1.34200","1.32459","1.32878","1.32874","1.34000","1.32359","1.32478"
"07.12.2010 ","1.32874","1.34000","1.32359","1.32478","1.32479","1.32796","1.31798","1.32477"
"08.12.2010 ","1.32479","1.32796","1.31798","1.32477","1.32477","1.33223","1.31643","1.32403"
"09.12.2010 ","1.32477","1.33223","1.31643","1.32403","1.32403","1.32819","1.31785","1.32224"
"10.12.2010 ","1.32403","1.32819","1.31785","1.32224","1.32224","1.32224","1.32224","1.32224"
"11.12.2010 ","1.32224","1.32224","1.32224","1.32224","1.32266","1.32311","1.31896","1.31963"
